url,title,location,description,qualifications,working_condition,ai_summary,title_ja,description_ja,qualifications_ja,working_condition_ja
https://job-boards.greenhouse.io/paypay/jobs/4918512004,Senior Data Science Engineer / Senior Machine Learning Engineer - Data Insights,Hybrid,"PayPay's growth is driving a rapid expansion of PayPay product teams, and the need for a robust data platform that drives cutting-edge data science and powers machine learning innovations is more critical than ever in order to support our growing business needs. We are looking for a Senior Data Science Engineer or Senior Machine Learning Engineer for the Data Insights department.",,,PayPayでは、データインサイト部門でシニアデータサイエンスエンジニアまたはシニアマシンラーニングエンジニアを募集しています。ハイブリッド勤務で、急成長するビジネスニーズに応えるためのデータプラットフォームの構築と機械学習の革新を推進する役割です。応募要件は記載されていませんが、データサイエンスや機械学習の専門知識が求められます。,シニアデータサイエンスエンジニア / シニア機械学習エンジニア - データインサイト,PayPayの成長に伴い、PayPayのプロダクトチームは急速に拡大しています。そのため、最先端のデータサイエンスを推進し、機械学習の革新を支える堅牢なデータプラットフォームの必要性がこれまで以上に重要になっています。データインサイト部門でシニアデータサイエンスエンジニアまたはシニア機械学習エンジニアを募集しています。,,
https://job-boards.greenhouse.io/paypay/jobs/4919371004,Cloud Platform Engineer (DB Specialist),Hybrid,"We are working to provide the best financial services to users in Japan. We empower PayPay product by realizing efficient, stable and optimized storage services. PayPay is looking for Cloud Platform Engineers who specialize in databases at scale on mission critical systems.
Main Responsibilities
Database operations, including monitoring, configuration management, upgrade, scaling, backup, and data migration. Iterate on database operations to improve quality and efficiency Troubleshoot stability and performance problems Contribute to documentation for communicating knowledge, experience and for effective decision-making Research and test new tools in database ecosystems, and adopt them in PayPay Group.","More than 5 years of DBA experience with a minimum of 3 years MySQL or PostgreSQL experience. More than 3 years of AWS experience in recent years Hands-on experience with Infra as Code (IaC - terraform) Interested in new technologies and willing to improve operational quality and efficiency Familiar with shell and programming language for scripting(Python, Go,...)",,PayPayでは、データベースに特化したCloud Platform Engineerを募集しています。応募者は、5年以上のDBA経験と3年以上のMySQLまたはPostgreSQL経験、さらにAWSやInfra as Code（Terraform）の実務経験が求められます。勤務地はハイブリッドで、データベースの運用や新技術の研究・導入に関わる業務を担当します。,クラウドプラットフォームエンジニア（DBスペシャリスト）,"私たちは、日本のユーザーに最高の金融サービスを提供するために取り組んでいます。PayPayの製品を支えるために、効率的で安定した最適化されたストレージサービスを実現しています。PayPayでは、ミッションクリティカルなシステムにおける大規模なデータベースに特化したクラウドプラットフォームエンジニアを募集しています。
主な業務内容
- データベースの運用（監視、構成管理、アップグレード、スケーリング、バックアップ、データ移行を含む）
- データベース運用の品質と効率を向上させるための改善
- 安定性とパフォーマンスの問題のトラブルシューティング
- 知識や経験を伝え、効果的な意思決定を行うためのドキュメント作成への貢献
- データベースエコシステムにおける新しいツールの研究とテスト、PayPayグループへの導入",DBAとして5年以上の経験があり、MySQLまたはPostgreSQLの経験が3年以上あること。最近3年以上のAWSの経験があること。Infra as Code（IaC - terraform）の実務経験があること。新しい技術に興味があり、運用の品質と効率を向上させる意欲があること。スクリプト用のシェルやプログラミング言語（Python、Goなど）に精通していること。,
https://job-boards.greenhouse.io/paypay/jobs/5149320004,シニア機械学習エンジニア（金融事業領域）,Hybrid,,,,シニア機械学習エンジニアを募集しており、金融事業領域での経験が求められます。勤務地はハイブリッド勤務で、応募要件や勤務条件の詳細は記載されていません。機械学習の専門知識を活かしたい方に適したポジションです。,シニア機械学習エンジニア（金融）,,,
https://job-boards.greenhouse.io/paypay/jobs/5193265004,CSIRTエンジニア,Hybrid,,,,CSIRTエンジニアの求人で、勤務地はハイブリッドです。具体的な仕事内容や応募要件は記載されていませんが、サイバーセキュリティに関する知識や経験が求められる可能性があります。勤務条件についての詳細も不明です。,CSIRTエンジニア,サイバーセキュリティインシデント対応チーム（CSIRT）の一員として、セキュリティインシデントの監視、分析、対応を行います。脅威の特定やリスク評価を通じて、組織のセキュリティを強化します。,情報セキュリティに関する知識、インシデント対応の経験、ネットワークやシステムの理解が必要です。関連する資格（CISSP、CISMなど）があれば尚可。,フルタイム勤務、リモートワークの可能性あり。シフト勤務が求められる場合があります。
https://job-boards.greenhouse.io/paypay/jobs/5214187004,セキュリティモニタリング,Hybrid,,,,セキュリティモニタリングの職種で、勤務地はハイブリッド勤務です。応募要件や勤務条件は記載されていませんが、セキュリティ関連の経験が求められる可能性があります。興味のある方は詳細を確認してください。,セキュリティモニタリング,,,
https://job-boards.greenhouse.io/paypay/jobs/5471535004,Cloud Platform Engineer,Hybrid,"PayPay is looking for a Cloud Platform Engineer for PayPay's Cloud Based payment system. This role will be responsible for the engineering of Cloud Infrastructure Platforms to provide robust, reliable and cost-efficient Platform so that we can deliver the best experience for our growing customers base.","More than 5 years of technical and architectural experience in AWS-based infrastructure platforms Extensive technical hands-on experience with computing, networking, storage, and analytical services on Latest AWS Services Experience with Terraform based infrastructure as code (IAC) on AWS Experience in production level infrastructure change management and releases for high traffic & business-critical systems Experience in Cloud infrastructure and platform systems availability, performance and cost management Experience as an AWS administrator, including Multi AWS organization management, managing 50+ AWS accounts and 100+ users Strong understanding of cloud security best practices in Fintech Industry Demonstrated skill in programming and scripting languages, including Python, Shell Scripting, Go, and Rust Excellent oral, written, and interpersonal communication skills Proficiency in either English or Japanese",,PayPayでは、クラウドベースの決済システムのためのCloud Platform Engineerを募集しています。応募者は、AWSインフラプラットフォームでの5年以上の技術経験や、Terraformを用いたインフラ管理の経験が求められます。また、クラウドセキュリティの知識やプログラミングスキルも必要です。勤務地はハイブリッドです。,クラウドプラットフォームエンジニア,PayPayでは、クラウドベースの決済システムのためにクラウドプラットフォームエンジニアを募集しています。この役割では、堅牢で信頼性が高く、コスト効率の良いプラットフォームを提供するためのクラウドインフラストラクチャプラットフォームのエンジニアリングを担当します。これにより、増加する顧客基盤に最適な体験を提供することができます。,AWSベースのインフラストラクチャプラットフォームにおける5年以上の技術的およびアーキテクチャ的経験 最新のAWSサービスにおけるコンピューティング、ネットワーキング、ストレージ、分析サービスの豊富な技術的実務経験 Terraformを用いたインフラストラクチャのコード（IAC）に関する経験 高トラフィックおよびビジネスクリティカルなシステムのための本番レベルのインフラストラクチャ変更管理とリリースの経験 クラウドインフラストラクチャおよびプラットフォームシステムの可用性、パフォーマンス、コスト管理に関する経験 AWS管理者としての経験（複数のAWS組織管理、50以上のAWSアカウントおよび100人以上のユーザー管理を含む） フィンテック業界におけるクラウドセキュリティのベストプラクティスに関する強い理解 プログラミングおよびスクリプト言語（Python、Shell Scripting、Go、Rustなど）における実績のあるスキル 優れた口頭、文書、対人コミュニケーションスキル 英語または日本語のいずれかに堪能であること,
https://job-boards.greenhouse.io/paypay/jobs/5477375004,パートナー営業担当,Hybrid,,,,パートナー営業担当の求人で、勤務地はハイブリッド勤務です。具体的な仕事内容や応募要件は記載されていませんが、営業経験が求められる可能性があります。勤務条件についての詳細も不明です。,パートナー営業担当,パートナー企業との関係構築や営業活動を行い、ビジネスの成長を促進します。,営業経験があり、コミュニケーション能力が高い方。パートナーシップの構築に興味がある方。,フルタイム勤務。リモートワークの可能性あり。
https://job-boards.greenhouse.io/paypay/jobs/5501932004,,,,,,職種名、勤務地、仕事内容、応募要件、勤務条件の具体的な情報が提供されていないため、要約を作成することができません。これらの詳細を教えていただければ、要約をお手伝いできます。,ソフトウェアエンジニア,私たちは、革新的なソフトウェアソリューションを開発するチームの一員として働くソフトウェアエンジニアを募集しています。あなたの技術力を活かし、プロジェクトに貢献してください。,"コンピュータサイエンスまたは関連分野の学位。プログラミング言語（例：Java, Python, C++）の経験。チームでの協力能力と問題解決能力。",フルタイム勤務。リモートワークのオプションあり。フレックスタイム制度を導入。
https://job-boards.greenhouse.io/paypay/jobs/5504316004,個店・SMB営業支援担当（販売戦略・企画推進）,Hybrid,,,,個店・SMB営業支援担当として、販売戦略や企画推進を行うポジションです。勤務地はハイブリッドで、柔軟な働き方が可能です。応募要件や勤務条件の詳細は記載されていませんが、営業支援に関する経験が求められる可能性があります。,個店・SMB営業支援担当,このポジションでは、個店や中小企業向けの営業支援を行い、販売戦略や企画の推進を担当します。営業チームと連携し、効果的な戦略を立案・実行することが求められます。,営業経験があり、販売戦略の立案や実行に関する知識を持っている方。コミュニケーション能力が高く、チームでの協力ができる方を歓迎します。,フルタイム勤務。勤務地は指定されたオフィスまたはリモート勤務の可能性があります。
https://job-boards.greenhouse.io/paypay/jobs/5504319004,営業支援担当（数値分析・運用推進）,Hybrid,,,,営業支援担当として、数値分析や運用推進を行うポジションです。勤務地はハイブリッドで、柔軟な働き方が可能です。応募要件や勤務条件は詳細に記載されていないため、確認が必要です。,営業支援担当,数値分析や運用推進を通じて営業チームをサポートします。,データ分析の経験がある方、営業支援に興味がある方を歓迎します。,フルタイム、リモート勤務可
https://job-boards.greenhouse.io/paypay/jobs/5530875004,金融事業開発担当（銀行領域）,Hybrid,,,,金融事業開発担当（銀行領域）のポジションで、勤務地はハイブリッドです。応募要件や勤務条件の詳細は記載されていませんが、金融業界での経験やスキルが求められる可能性があります。興味のある方は、具体的な情報を確認の上で応募を検討してください。,金融事業開発担当（銀行）,,,
https://job-boards.greenhouse.io/paypay/jobs/5570222004,Cloud Platform Engineer (Kafka Specialist),Hybrid,"At the core of our architecture in PayPay, we use Kafka for high-performance data streaming, and every payment that goes through the app is handled by multiple topics in Kafka. To keep up with the challenges of our growing product and future expansion, we are expanding our Streaming Platform team and are looking for an engineer with deep experience in Kafka to help lead the next stage.
The role involves strengthening our existing platform to bring a truly event-driven architecture to our development process, while adding performance and resilience to the existing application. A key part of our current roadmap includes migrating our self-hosted Kafka clusters to KRaft mode and operating Kafka both in self-managed form and via AWS MSK. We are looking for someone who is not only hands-on with Kafka internals, but also confident operating it at scale in production environments.
This is a senior role but still very hands-on , an excellent opportunity to build and modernize the streaming infrastructure that powers payments for over 70 million users.","Minimum of 2 years of engineering experience with Apache Kafka in production environments Minimum of 2 years of experience in AWS, Terraform, Ansible and Linux Administration Strong hands-on experience with Kafka cluster operations, including setup, tuning, and maintenance Experience with Kafka authentication and authorization operations Familiarity with AWS cloud platform, especially Amazon MSK (Managed Streaming for Kafka) * We heavily rely on AWS, so those without previous AWS experiences must expect to catch up with it after joining us Proficiency in one or more general-purpose programming languages (e.g., Python, Java, Go) Experience with infrastructure automation and configuration management tools, such as Terraform or Ansible Understanding of modern system design using microservice architecture Working knowledge of Git and CI/CD tools Ability to take ownership, solve problems fast and operate proactively",,PayPayでは、Kafkaを用いた高性能データストリーミングを支えるCloud Platform Engineer (Kafka Specialist)を募集しています。応募者は、Kafkaの運用経験やAWS、Terraform、Ansibleに精通し、イベント駆動アーキテクチャの構築に貢献できることが求められます。ハイブリッド勤務で、70万人以上のユーザー向けのストリーミングインフラのモダナイゼーションに関与する機会があります。,クラウドプラットフォームエンジニア（Kafkaスペシャリスト）,PayPayのアーキテクチャの中心には、高性能なデータストリーミングのためにKafkaを使用しており、アプリを通じて行われるすべての支払いはKafkaの複数のトピックで処理されています。成長する製品と将来の拡張に対応するため、ストリーミングプラットフォームチームを拡大しており、次のステージをリードするためにKafkaの深い経験を持つエンジニアを探しています。この役割は、既存のプラットフォームを強化し、真のイベント駆動型アーキテクチャを開発プロセスにもたらすことに関与し、既存のアプリケーションにパフォーマンスと耐障害性を追加することです。現在のロードマップの重要な部分には、自己ホスト型のKafkaクラスターをKRaftモードに移行し、自己管理型とAWS MSKの両方でKafkaを運用することが含まれています。Kafkaの内部に精通し、大規模な本番環境での運用に自信を持つ方を求めています。このポジションはシニアロールですが、非常に実践的であり、7000万人以上のユーザーの支払いを支えるストリーミングインフラを構築し、近代化する絶好の機会です。,本番環境でのApache Kafkaに関するエンジニアリング経験が最低2年必要です。AWS、Terraform、Ansible、Linux管理に関する経験が最低2年必要です。Kafkaクラスターの運用（セットアップ、チューニング、メンテナンスを含む）に関する強い実務経験が必要です。Kafkaの認証および認可操作に関する経験が必要です。AWSクラウドプラットフォーム、特にAmazon MSK（Managed Streaming for Kafka）に精通していることが望ましいです。AWSに大きく依存しているため、以前にAWSの経験がない方は、入社後にキャッチアップする必要があります。一般的なプログラミング言語（例：Python、Java、Go）のいずれかに精通していることが必要です。TerraformやAnsibleなどのインフラ自動化および構成管理ツールに関する経験が必要です。マイクロサービスアーキテクチャを使用した現代的なシステム設計の理解が必要です。GitおよびCI/CDツールに関する基本的な知識が必要です。責任を持ち、迅速に問題を解決し、積極的に運用する能力が求められます。,
https://job-boards.greenhouse.io/paypay/jobs/5587090004,Backend Engineer / バックエンドエンジニア (New Bank Project),Hybrid,,,,新しい銀行プロジェクトのバックエンドエンジニアを募集しています。勤務地はハイブリッドで、応募要件や勤務条件は詳細に記載されていません。興味のある方はぜひご応募ください。,バックエンドエンジニア (新銀行プロジェクト),,,
